id,model,difficulty_score,input_tokens,output_tokens,classifier_input_tokens,classifier_output_tokens,latency_ms,raw_answer,correct
gsm8k_0,groq-cheap,1,138,236,202,49,2023,The three measurements are:  1. Initial speed = **47 WPM**   2. After the first set of lessons = **52 WPM**   3. After another increase of 5 WPM = \(52 + 5 = 57\) WPM    Average of the three speeds: \[ \text{Average} = \frac{47 + 52 + 57}{3}                = \frac{156}{3}                = 52 \text{ WPM} \]  **Answer:** The average of the three measurements is **52 words per minute**.,True
gsm8k_1,groq-cheap,1,111,179,176,55,1362,"Each child needs 5 diaper changes per day, so together they need    \(2 \times 5 = 10\) changes.  Jordan’s wife changes half of those, i.e. \(10 \div 2 = 5\) changes.  Therefore, Jordan changes **5 diapers per day**.",True
gsm8k_2,groq-cheap,1,143,219,208,55,1450,"The bridge can support at most    \[ 5000\text{ lb} \]  The truck (with driver) already weighs    \[ 3755\text{ lb} \]  Thus the remaining weight allowance for boxes is    \[ 5000 - 3755 = 1245\text{ lb} \]  Each box weighs 15 lb, so the maximum number of boxes is    \[ \frac{1245}{15} = 83 \]  Since 83 boxes exactly use the remaining allowance (15 lb × 83 = 1245 lb), the truck can safely carry **83 boxes** without exceeding the bridge’s weight limit.",True
gsm8k_3,groq-cheap,1,126,384,191,73,2104,"Tim started with    - **Blue shoe boxes:** 7   - **Red shoe boxes:** 9    He used:  - **Blue:** 3 boxes → \(7 - 3 = 4\) blue boxes remain.   - **Red:** \(\frac13\) of the red boxes.     \[   \frac13 \times 9 = 3 \text{ red boxes used}   \]   So \(9 - 3 = 6\) red boxes remain.  **Remaining shoe boxes**  - **Blue:** **4**   - **Red:** **6**    So after his fishing trip, Tim has **4 blue shoe boxes and 6 red shoe boxes** left in his box.",False
gsm8k_4,groq-cheap,1,115,439,180,29,2229,The problem gives the following relationships:  - **Robots** = half as many as **helmets**     \[   \text{Robots} = \frac{1}{2}\times\text{Helmets}   \]  - **Helmets** = half as many as **footballs**     \[   \text{Helmets} = \frac{1}{2}\times\text{Footballs}\;\;\Longrightarrow\;\; \text{Footballs}=2\times\text{Helmets}   \]  We’re told there are **20 helmets**.  1. **Robots**      \[    \text{Robots}= \frac{1}{2}\times 20 = 10    \]  2. **Footballs**      \[    \text{Footballs}= 2 \times 20 = 40    \]  3. **Total items**      \[    \text{Total}= \text{Robots}+ \text{Helmets}+ \text{Footballs}=10+20+40 = 70    \]  \[ \boxed{70} \],True
gsm8k_5,groq-cheap,1,132,289,197,32,1874,**Step‑by‑step calculation**  1. **Total number of seats**      \(4 \text{ rows} \times 18 \text{ seats per row}=72\) seats.  2. **Seats taken by administrators**      One‑fourth of the seats:      \(\frac{1}{4}\times 72 = 18\) seats.  3. **Seats left after administrators**      \(72 - 18 = 54\) seats.  4. **Seats taken by parents**      One‑third of the remaining seats:      \(\frac{1}{3}\times 54 = 18\) seats.  5. **Seats left for students**      \(54 - 18 = 36\) seats.  ---  \[ \boxed{36} \]  So there were **36 students** in the auditorium.,True
gsm8k_6,groq-cheap,1,102,170,167,57,1526,Each type of pet has the following number of legs:  - Dogs: 4 legs each → 5 dogs × 4 = 20 legs   - Cats: 4 legs each → 2 cats × 4 = 8 legs   - Birds: 2 legs each → 10 birds × 2 = 20 legs    Adding them together:  \(20 + 8 + 20 = 48\)  **The pets in the store have a total of 48 legs.**,True
gsm8k_7,groq-cheap,1,130,201,195,51,1654,The slow‑lane car travels at half the fast‑lane speed:  - Fast‑lane speed = 60 mi/h   - Slow‑lane speed = 60 mi/h ÷ 2 = **30 mi/h**  Time needed to cover 480 mi at 30 mi/h:  \[ \text{time} = \frac{\text{distance}}{\text{speed}} = \frac{480\ \text{mi}}{30\ \text{mi/h}} = 16\ \text{hours} \]  **The car in the slow lane would take 16 hours to travel 480 miles.**,True
gsm8k_8,groq-cheap,1,140,306,205,77,1535,"First apply the 30 % discount to each item.  - Shirt: \(25 \times (1 - 0.30) = 25 \times 0.70 = \$17.50\) - Shorts: \(35 \times (1 - 0.30) = 35 \times 0.70 = \$24.50\)  Add the discounted prices:  \[ \$17.50 + \$24.50 = \$42.00 \]  Joe started with \$50, so the amount left after the purchase is  \[ \$50 - \$42 = \boxed{\$8.00} \]",True
gsm8k_9,groq-cheap,1,107,124,172,18,1336,"A glass contains \(8\) oz, so two glasses contain    \[ 2 \times 8 = 16\text{ oz}. \]  At \(3\) calories per ounce, the total calories are    \[ 16 \times 3 = 48\text{ calories}. \]  **John consumed 48 calories.**",True
gsm8k_10,groq-cheap,1,114,131,179,46,1212,"Johnny started with    \[ 20\text{ dollars} + 10\text{ dollars} = 30\text{ dollars}. \]  The investment **triples**, so after one year he has    \[ 3 \times 30\text{ dollars} = 90\text{ dollars}. \]  \[ \boxed{\$90} \]",True
gsm8k_11,groq-cheap,1,124,157,189,52,1288,"After the first week the beanstalk is **3 inches** tall.   - In the second week it doubles, so \(3 \times 2 = 6\) inches.   - In the third week it grows an additional 4 inches, giving \(6 + 4 = 10\) inches.  **The beanstalk is 10 inches tall after 3 weeks.**",True
