id,model,input_tokens,output_tokens,latency_ms,raw_answer,correct
gsm8k_0,gemini-3.1-flash-lite,70,152,3631,"To find the average of the three measurements, follow these steps:  1.  **Identify the three measurements:**     *   First measurement: **47 WPM**     *   Second measurement: **52 WPM**     *   Third measurement: 52 + 5 = **57 WPM**  2.  **Calculate the sum of the three measurements:**     47 + 52 + 57 = 156  3.  **Calculate the average:**     To find the average, divide the sum by the number of measurements (3):     156 ÷ 3 = 52  The average of the three measurements is **52 WPM**.",True
gsm8k_1,gemini-3.1-flash-lite,42,86,6488,"Here is the step-by-step breakdown:  1.  **Calculate the total number of diaper changes per day:** 2 children × 5 changes each = 10 total diaper changes. 2.  **Calculate how many Jordan changes:** Since his wife changes half of them, Jordan changes the other half. 10 ÷ 2 = 5.  Jordan changes **5** diapers per day.",True
gsm8k_2,gemini-3.1-flash-lite,79,166,4816,"To find the maximum number of boxes the truck can carry, follow these steps:  1.  **Calculate the remaining weight capacity for the boxes:**     Subtract the weight of the driver and the empty truck from the bridge's weight limit.     $5000\text{ lbs} - 3755\text{ lbs} = 1245\text{ lbs}$  2.  **Determine the number of boxes:**     Since each box weighs 15 pounds, divide the remaining capacity by the weight per box.     $1245\text{ lbs} / 15\text{ lbs per box} = 83$  **Conclusion:** The maximum number of boxes that can be loaded onto the truck is **83**.",True
gsm8k_3,gemini-3.1-flash-lite,57,151,5596,"To find out how many shoe boxes are left, we calculate the remaining amount for each color separately:  **1. Blue shoe boxes:** *   Tim started with 7 blue shoe boxes. *   He used 3. *   Calculation: 7 - 3 = **4 blue shoe boxes left.**  **2. Red shoe boxes:** *   Tim started with 9 red shoe boxes. *   He used 1/3 of them: 9 ÷ 3 = 3 red shoe boxes used. *   Calculation: 9 - 3 = **6 red shoe boxes left.**  **Total:** Tim has **4 blue shoe boxes** and **6 red shoe boxes** left.",False
gsm8k_4,gemini-3.1-flash-lite,48,167,6813,"To calculate the total number of items, we need to find the number of each type of item and add them together.  1.  **Helmets:** We are given that there are **20 helmets**. 2.  **Robots:** There are half as many robots as helmets.     *   20 / 2 = **10 robots**. 3.  **Footballs:** There are half as many helmets as footballs. This means there are twice as many footballs as helmets.     *   20 × 2 = **40 footballs**.  **Total items:** 10 (robots) + 20 (helmets) + 40 (footballs) = **70 items**.  Dominick saw a total of **70** items.",True
gsm8k_5,gemini-3.1-flash-lite,64,257,5119,"To find the number of students in the auditorium, follow these steps:  **Step 1: Calculate the total number of seats.** There are 4 rows with 18 seats each: 4 rows × 18 seats/row = **72 seats total**  **Step 2: Calculate how many seats were occupied by administrators.** One-fourth of the total seats were occupied by administrators: 1/4 of 72 = 72 ÷ 4 = **18 seats occupied by administrators**  **Step 3: Calculate the number of remaining seats.** Subtract the administrators' seats from the total: 72 - 18 = **54 remaining seats**  **Step 4: Calculate how many seats were occupied by parents.** One-third of the *remaining* seats were occupied by parents: 1/3 of 54 = 54 ÷ 3 = **18 seats occupied by parents**  **Step 5: Calculate the number of seats occupied by students.** Subtract the parents' seats from the remaining seats: 54 - 18 = **36 seats**  **Final Answer:** There were **36 students** in the school auditorium.",True
gsm8k_6,gemini-3.1-flash-lite,33,108,2283,"To find the total number of legs, we calculate the legs for each type of animal:  *   **Dogs:** 5 dogs × 4 legs each = **20 legs** *   **Cats:** 2 cats × 4 legs each = **8 legs** *   **Birds:** 10 birds × 2 legs each = **20 legs**  Total = 20 + 8 + 20 = **48 legs**  There are **48 legs** in total.",True
gsm8k_7,gemini-3.1-flash-lite,64,209,13519,"To find the time it took for the car in the slow lane to travel 480 miles, follow these steps:  1.  **Determine the speed of the car in the slow lane:**     The car in the fast lane is traveling at 60 mph. The car in the slow lane is traveling at half that speed:     $60 \text{ mph} / 2 = 30 \text{ mph}$  2.  **Calculate the time for the slow lane car to travel 480 miles:**     The formula for time is $\text{Time} = \text{Distance} / \text{Speed}$.     $\text{Time} = 480 \text{ miles} / 30 \text{ mph}$  3.  **Perform the division:**     $480 / 30 = 16$  **Result:** The car in the slow lane took **16 hours** to cover the distance.",True
gsm8k_8,gemini-3.1-flash-lite,74,194,5770,"To find out how much money Joe will have left, follow these steps:  1.  **Calculate the total original price of the items:**     $25 (shirt) + $35 (shorts) = $60  2.  **Calculate the discount:**     Since there is a 30% off sale, you can calculate the discount amount by multiplying the total price by 0.30:     $60 × 0.30 = $18 (discount)  3.  **Calculate the final price Joe pays:**     Subtract the discount from the original total:     $60 - $18 = $42  4.  **Calculate how much money Joe has left:**     Subtract the final price of the outfit from the $50 Joe started with:     $50 - $42 = $8  Joe will have **$8** left.",True
gsm8k_9,gemini-3.1-flash-lite,37,77,4483,"To find the total number of calories John consumed, you can follow these steps:  1.  **Calculate the total number of ounces:** 2 glasses × 8 ounces per glass = 16 ounces. 2.  **Calculate the total calories:** 16 ounces × 3 calories per ounce = 48 calories.  John consumed **48 calories**.",True
gsm8k_10,gemini-3.1-flash-lite,45,98,5970,"To find out how much money Johnny had after a year, follow these steps:  1.  **Calculate the initial sum:** Johnny started with $20 and added $10.     $20 + $10 = $30 2.  **Calculate the amount after it tripled:** Since the sum tripled, multiply it by 3.     $30 × 3 = $90  Johnny had **$90** after a year.",True
